Epoch	Total Loss	PINN Loss	Contrastive Loss	PDE Loss	Physics Loss
1	6233.365823	6232.659989	4.705559	0.019828	1.441090
2	5414.254190	5413.553169	4.673464	0.003862	1.206775
3	4749.962235	4749.262376	4.665717	0.002681	1.189391
4	4156.714245	4156.014783	4.663091	0.002167	1.139751
5	3638.005639	3637.306579	4.660395	0.001932	1.070491
6	3196.398287	3195.699199	4.660606	0.001803	1.010166
7	2826.469748	2825.771042	4.658033	0.001738	0.955500
8	2527.468657	2526.769880	4.658518	0.001702	0.916669
9	2292.268662	2291.570258	4.655999	0.001660	0.892201
10	2114.110382	2113.411924	4.656391	0.001637	0.882216
11	1985.089927	1984.391847	4.653863	0.001622	0.870416
12	1896.210907	1895.513114	4.651956	0.001598	0.862752
13	1840.685388	1839.987706	4.651221	0.001591	0.863696
14	1809.177751	1808.479897	4.652369	0.001583	0.864445
15	1796.377110	1795.679198	4.652748	0.001580	0.867645
16	1602.179826	1601.480072	4.665020	0.001720	0.850324
17	1250.456648	1249.756162	4.669900	0.001663	0.857311
18	948.051529	947.350739	4.671939	0.001677	0.855885
19	694.149158	693.448211	4.672987	0.001662	0.859141
20	487.306647	486.605718	4.672861	0.001662	0.854784
21	326.766924	326.065690	4.674891	0.001669	0.854649
22	210.552253	209.851613	4.670936	0.001655	0.738864
23	129.562621	128.865668	4.646355	0.002137	0.237884
24	77.354214	76.659347	4.632447	0.001902	0.173048
25	47.169464	46.475953	4.623406	0.001841	0.107653
26	31.305489	30.612899	4.617265	0.001808	0.058907
27	21.956809	21.264311	4.616648	0.001768	0.044198
28	15.814396	15.121405	4.621226	0.001742	0.038100
29	11.590590	10.900438	4.625047	0.001730	0.031809
30	8.759847	8.081799	4.625677	0.001713	0.028882
31	6.990953	6.338324	4.628068	0.001674	0.029921
32	5.932979	5.307803	4.627729	0.001658	0.030222
33	5.330130	4.725361	4.627852	0.001645	0.034529
34	5.005653	4.417171	4.629441	0.001630	0.040189
35	4.816975	4.234409	4.629683	0.001610	0.044487
36	4.701102	4.124747	4.631890	0.001596	0.046749
37	4.637116	4.067424	4.631715	0.001582	0.047767
38	4.573250	4.006517	4.633431	0.001565	0.049713
39	4.542770	3.980109	4.633122	0.001560	0.054545
40	4.517607	3.954911	4.633054	0.001558	0.055628
41	4.507037	3.944722	4.635468	0.001543	0.057105
42	4.503213	3.940944	4.635128	0.001539	0.058244
43	4.481606	3.921613	4.636361	0.001536	0.056551
44	4.483448	3.922833	4.640311	0.001542	0.057665
45	4.506076	3.945241	4.638986	0.001535	0.056791
46	4.470248	3.910471	4.650380	0.001770	0.060608
47	4.361011	3.808658	4.655546	0.001694	0.060424
48	4.239452	3.700530	4.655737	0.001703	0.060470
49	4.119808	3.594526	4.656293	0.001672	0.061717
50	4.009562	3.494613	4.658469	0.001731	0.067258
51	3.894872	3.393594	4.659712	0.001664	0.064417
52	3.751455	3.267433	4.660471	0.001672	0.057517
53	3.574277	3.111140	4.664222	0.001661	0.057808
54	3.415296	2.972614	4.665891	0.001669	0.050437
55	3.293577	2.865975	4.669543	0.001665	0.048722
56	3.232991	2.812792	4.670886	0.001665	0.045632
57	3.127231	2.720516	4.673259	0.001652	0.050412
58	3.057494	2.659808	4.675247	0.001653	0.042683
59	3.019472	2.626807	4.675159	0.001653	0.049141
60	2.986937	2.598138	4.676835	0.001640	0.044893
61	2.963054	2.577231	4.680199	0.001627	0.043073
62	2.941298	2.558405	4.684015	0.001613	0.040994
63	2.881057	2.506011	4.680804	0.001626	0.043694
64	2.863074	2.490186	4.683158	0.001609	0.039912
65	2.842174	2.472113	4.686118	0.001603	0.041712
66	2.816911	2.449634	4.688642	0.001598	0.039281
67	2.764082	2.403811	4.690581	0.001592	0.039601
68	2.766241	2.405884	4.691838	0.001585	0.039854
69	2.741529	2.384138	4.694002	0.001589	0.037836
70	2.733093	2.377048	4.695249	0.001582	0.042454
71	2.739588	2.382740	4.697874	0.001577	0.039414
72	2.698138	2.346696	4.695915	0.001566	0.038830
73	2.693571	2.342510	4.697366	0.001564	0.038726
74	2.667466	2.319696	4.696019	0.001553	0.039114
75	2.690210	2.339562	4.694804	0.001558	0.040774
76	2.672729	2.324236	4.697064	0.001550	0.038429
77	2.670517	2.322771	4.693432	0.001546	0.039727
78	2.645119	2.300430	4.693438	0.001538	0.032707
79	2.647154	2.302639	4.693591	0.001538	0.038200
80	2.608387	2.268426	4.691621	0.001542	0.039122
81	2.639822	2.295856	4.691395	0.001524	0.038442
82	2.620540	2.279228	4.691267	0.001522	0.036672
83	2.613922	2.273398	4.690176	0.001521	0.039448
84	2.597968	2.259392	4.689729	0.001510	0.038393
85	2.629384	2.286574	4.689032	0.001510	0.037871
86	2.604306	2.265095	4.689040	0.001509	0.038224
87	2.606486	2.267066	4.687738	0.001498	0.037268
88	2.588390	2.251112	4.687927	0.001495	0.033040
89	2.598982	2.260187	4.688445	0.001495	0.035615
90	2.602408	2.263129	4.688369	0.001486	0.037159
91	2.581570	2.245319	4.687111	0.001479	0.036774
92	2.574095	2.238620	4.687790	0.001486	0.036784
93	2.568031	2.233269	4.685752	0.001485	0.033772
94	2.587115	2.250071	4.685716	0.001476	0.032825
95	2.572568	2.237206	4.684292	0.001470	0.037739
96	2.575033	2.239455	4.684786	0.001477	0.035322
97	2.561908	2.228044	4.685037	0.001467	0.035739
98	2.540132	2.209015	4.685252	0.001460	0.035756
99	2.578341	2.242370	4.685362	0.001460	0.036585
100	2.549761	2.217552	4.684295	0.001463	0.033580
