Epoch	Total Loss	PINN Loss	Contrastive Loss	PDE Loss	Physics Loss
1	6295.496172	6294.119502	4.588937	0.038184	1.692620
2	5833.665091	5832.292222	4.576221	0.007687	1.153007
3	5557.485684	5556.113696	4.573325	0.004913	1.108635
4	5315.431755	5314.060269	4.571645	0.003808	1.123938
5	5094.862683	5093.491580	4.570324	0.003112	1.118027
6	4899.170397	4897.799834	4.568567	0.002704	1.113075
7	4732.136520	4730.765947	4.568588	0.002477	1.097984
8	4586.142353	4584.772337	4.566747	0.002308	1.097234
9	4468.809446	4467.439617	4.566118	0.002179	1.074042
10	4376.807992	4375.438319	4.565566	0.002073	1.084597
11	4306.324138	4304.954595	4.565119	0.002019	1.075227
12	4258.899976	4257.530698	4.564293	0.001977	1.068188
13	4227.646256	4226.277084	4.563902	0.001939	1.066097
14	4209.502424	4208.133342	4.563627	0.001923	1.070082
15	4199.593391	4198.224249	4.563828	0.001920	1.076940
16	4089.158092	4087.788152	4.566493	0.002062	1.058206
17	3873.652929	3872.282711	4.567378	0.001877	1.040990
18	3664.518626	3663.148809	4.566062	0.001847	1.007023
19	3458.278065	3456.907928	4.567116	0.001772	0.974980
20	3264.806325	3263.436160	4.567220	0.001771	0.963692
21	3079.701244	3078.331182	4.566883	0.001729	0.931161
22	2902.854079	2901.484031	4.566820	0.001720	0.907877
23	2740.114980	2738.745154	4.566082	0.001678	0.897146
24	2586.810308	2585.440606	4.565679	0.001685	0.877199
25	2446.145494	2444.775813	4.565607	0.001668	0.849801
26	2315.496108	2314.126797	4.564397	0.001633	0.842617
27	2198.875268	2197.505583	4.565635	0.001619	0.838053
28	2086.817270	2085.447840	4.564761	0.001649	0.837121
29	1989.400227	1988.031039	4.563957	0.001626	0.826246
30	1900.681779	1899.312654	4.563752	0.001605	0.817082
31	1821.743185	1820.373711	4.564912	0.001602	0.807557
32	1752.402069	1751.033156	4.563042	0.001591	0.819640
33	1694.077550	1692.708598	4.563175	0.001566	0.814555
34	1639.123384	1637.754510	4.562904	0.001582	0.808453
35	1594.569090	1593.200335	4.562519	0.001577	0.816407
36	1558.594987	1557.226362	4.562083	0.001561	0.808672
37	1526.087184	1524.718381	4.562683	0.001550	0.804378
38	1500.912873	1499.544045	4.562754	0.001543	0.802589
39	1481.346385	1479.977895	4.561626	0.001549	0.806589
40	1465.340695	1463.972149	4.561820	0.001552	0.807529
41	1453.790399	1452.422036	4.561209	0.001535	0.807665
42	1447.146788	1445.778124	4.562215	0.001534	0.791483
43	1441.288994	1439.920425	4.561894	0.001533	0.806489
44	1437.774546	1436.406069	4.561593	0.001502	0.802189
45	1436.093898	1434.725616	4.560936	0.001524	0.801800
46	1373.689336	1372.320081	4.564181	0.001691	0.799971
47	1250.224939	1248.855601	4.564457	0.001640	0.808050
48	1133.324013	1131.954139	4.566243	0.001639	0.809426
49	1022.981402	1021.611535	4.566220	0.001645	0.807966
50	918.689491	917.319505	4.566623	0.001643	0.800757
51	821.272425	819.902703	4.565740	0.001626	0.806162
52	730.663716	729.293894	4.566072	0.001655	0.802600
53	646.485279	645.115582	4.565658	0.001653	0.804997
54	568.332284	566.962487	4.565991	0.001591	0.808791
55	496.597088	495.227245	4.566143	0.001634	0.821310
56	431.640477	430.270877	4.565333	0.001627	0.810020
57	371.659155	370.289388	4.565889	0.001620	0.815514
58	319.262143	317.892545	4.565328	0.001607	0.802858
59	272.044423	270.674733	4.565633	0.001627	0.813303
60	230.899476	229.529737	4.565795	0.001601	0.817099
61	193.851887	192.482231	4.565521	0.001614	0.799913
62	163.090751	161.721658	4.563644	0.001616	0.597407
63	136.517145	135.147937	4.564026	0.001636	0.319177
64	113.446159	112.077015	4.563816	0.001933	0.157606
65	92.964629	91.595718	4.563037	0.002460	0.161628
66	75.928274	74.559658	4.562055	0.002060	0.131562
67	61.992989	60.624358	4.562103	0.001873	0.107749
68	50.070549	48.701896	4.562179	0.001866	0.099300
69	40.432866	39.064251	4.562050	0.001837	0.094866
70	32.359942	30.991499	4.561475	0.001808	0.078676
71	25.883922	24.515703	4.560729	0.001798	0.072411
72	20.763098	19.394939	4.560529	0.001781	0.068249
73	16.633256	15.265001	4.560853	0.001749	0.060959
74	13.430381	12.062519	4.559539	0.001747	0.057882
75	10.953715	9.585839	4.559585	0.001745	0.051532
76	9.052080	7.684681	4.559422	0.001739	0.048911
77	7.653470	6.294435	4.559177	0.001733	0.047011
78	6.470577	5.149640	4.558778	0.001721	0.040832
79	5.515624	4.296267	4.557696	0.001745	0.038109
80	4.771884	3.686930	4.558328	0.001739	0.034101
81	4.149630	3.196010	4.558512	0.001721	0.033451
82	3.662855	2.818092	4.556904	0.001725	0.028282
83	3.271034	2.516180	4.557464	0.001703	0.024886
84	2.932632	2.256046	4.557451	0.001702	0.023378
85	2.640246	2.030959	4.557393	0.001684	0.021293
86	2.438792	1.875994	4.556880	0.001660	0.020728
87	2.278544	1.752726	4.557541	0.001676	0.019485
88	2.094861	1.611431	4.556707	0.001657	0.017503
89	1.964892	1.511456	4.557150	0.001627	0.017373
90	1.854173	1.426287	4.556075	0.001646	0.015844
91	1.776104	1.366234	4.556313	0.001627	0.016419
92	1.710978	1.316137	4.556119	0.001629	0.017053
93	1.653854	1.272196	4.556144	0.001617	0.016258
94	1.612587	1.240451	4.555616	0.001617	0.015971
95	1.555737	1.196721	4.555718	0.001613	0.015354
96	1.533994	1.179995	4.556016	0.001609	0.015084
97	1.506876	1.159136	4.555529	0.001608	0.015652
98	1.478572	1.137363	4.555049	0.001596	0.015852
99	1.471063	1.131587	4.556950	0.001610	0.015601
100	1.441119	1.108553	4.555327	0.001588	0.015403
101	1.446817	1.112936	4.555315	0.001591	0.014611
102	1.418664	1.091280	4.556234	0.001575	0.014875
103	1.434281	1.103293	4.555182	0.001588	0.016400
104	1.426833	1.097564	4.555308	0.001588	0.014749
105	1.420750	1.092884	4.554737	0.001590	0.015145
106	1.360356	1.046427	4.556927	0.001870	0.015263
107	1.235590	0.950454	4.557716	0.001807	0.014626
108	1.136155	0.873965	4.558989	0.001725	0.013795
109	1.081764	0.832126	4.558589	0.001746	0.014139
110	1.039900	0.799923	4.558749	0.001740	0.013729
111	1.013946	0.779958	4.560720	0.001738	0.014223
112	0.990533	0.761948	4.559453	0.001761	0.014526
113	0.973683	0.748987	4.559331	0.001715	0.014714
114	0.959467	0.738052	4.559542	0.001708	0.013848
115	0.940853	0.723733	4.559982	0.001691	0.014157
116	0.938030	0.721562	4.559679	0.001734	0.014165
117	0.930242	0.715571	4.559391	0.001710	0.013667
118	0.928363	0.714125	4.558976	0.001694	0.013951
119	0.919709	0.707468	4.559921	0.001687	0.014036
120	0.923072	0.710056	4.559413	0.001696	0.014115
121	0.906451	0.697270	4.559072	0.001699	0.013874
122	0.910222	0.700171	4.558990	0.001670	0.013339
123	0.910759	0.700584	4.558907	0.001671	0.013629
124	0.908558	0.698891	4.558887	0.001689	0.013753
125	0.907406	0.698004	4.558557	0.001702	0.013908
126	0.903399	0.694923	4.560250	0.001681	0.013622
127	0.903915	0.695319	4.558913	0.001706	0.014599
128	0.894640	0.688185	4.558572	0.001659	0.013928
129	0.893672	0.687440	4.558279	0.001667	0.013764
130	0.894961	0.688431	4.559847	0.001661	0.013349
131	0.893997	0.687690	4.558637	0.001689	0.013470
132	0.885994	0.681534	4.558658	0.001650	0.013077
