Epoch	Total Loss	PINN Loss	Contrastive Loss	PDE Loss	Physics Loss
1	6784.638301	6779.847198	9.582211	0.101327	2.145732
2	5899.493957	5895.794985	7.397940	0.009036	1.260775
3	4941.683126	4938.453334	6.459579	0.003912	1.272293
4	3703.467808	3700.637037	5.661544	0.002596	1.204350
5	2327.173127	2324.400743	5.544768	0.002114	1.000755
6	1102.649458	1099.878722	5.541470	0.002027	0.875598
7	354.362581	351.591993	5.541176	0.002023	0.853718
8	69.395398	66.624845	5.541105	0.002743	0.155175
9	17.869362	15.098843	5.541037	0.002248	0.034448
10	8.664128	5.893607	5.541043	0.002133	0.033100
11	6.720545	3.950034	5.541022	0.002047	0.041000
12	6.218002	3.447485	5.541036	0.001935	0.048896
13	5.934354	3.163842	5.541025	0.001861	0.049154
14	5.604952	2.834441	5.541023	0.001931	0.045324
15	5.243978	2.473463	5.541029	0.001894	0.037101
16	5.029474	2.258969	5.541010	0.001832	0.038211
17	4.885151	2.114635	5.541032	0.001838	0.034089
18	3.811879	1.983338	5.541034	0.001801	0.031917
19	3.597885	1.824759	5.541019	0.001823	0.031039
20	3.445132	1.727413	5.541028	0.001803	0.024894
21	3.320652	1.658349	5.541009	0.001789	0.023460
22	3.183920	1.577028	5.541007	0.001778	0.024355
23	3.086813	1.535324	5.541030	0.001751	0.022988
24	2.998642	1.502571	5.541005	0.001738	0.019800
25	2.896608	1.455948	5.541001	0.001723	0.022247
26	2.804014	1.418761	5.541013	0.001704	0.023807
27	2.722052	1.392212	5.541002	0.001696	0.020868
28	2.646095	1.371665	5.540999	0.001687	0.018975
29	2.577331	1.358307	5.541018	0.001663	0.019364
30	2.504387	1.340774	5.541016	0.001655	0.018313
31	2.428499	1.320299	5.540999	0.001626	0.018147
32	2.350044	1.297257	5.540983	0.001621	0.019211
33	2.262310	1.264931	5.540995	0.001609	0.016541
34	2.199106	1.257139	5.540982	0.001592	0.019557
35	2.142283	1.255724	5.540995	0.001587	0.016925
36	2.071367	1.240220	5.540982	0.001579	0.019185
37	1.996039	1.220300	5.540990	0.001577	0.017230
38	1.945036	1.224709	5.540976	0.001558	0.016083
39	1.879750	1.214833	5.540975	0.001537	0.016473
40	1.806581	1.197073	5.540976	0.001541	0.017024
41	1.744054	1.189952	5.541025	0.001525	0.015826
42	1.704516	1.205827	5.540985	0.001517	0.019419
43	1.633261	1.189981	5.541000	0.001518	0.016497
44	1.575710	1.187842	5.540979	0.001503	0.016948
45	1.530300	1.197842	5.540963	0.001496	0.016741
46	1.468932	1.191884	5.540958	0.001485	0.013549
47	1.469963	1.192915	5.540961	0.001487	0.019301
48	1.480797	1.203746	5.541007	0.001480	0.016606
49	1.450402	1.173353	5.540990	0.001479	0.014716
50	1.445690	1.168641	5.540992	0.001479	0.013964
